"","Board Game Name","Publishing Year","Game Playing Time","Max Number of Players"
"1","Titan Wars: Coastal Defenders",2019,80,5
"2","Samurai Punk",2019,30,4
"3","Axis of Evil II: War on the Southern Axis",2019,0,2
"4","A game, wherein you blether (a Scottish word meaning to talk at length at a fast rate; ranting, hypothesising, narrating or speaking in some other manner, without necessarily making very much sense) just for a single minute; mainly designed by [truncated]",2019,60,6
"5","Typhoon Solitaire: the Final German Drive on Moscow, 1941",2019,0,1
"6","Kingdom Death: Monster – Frogdog Expansion",2019,60,6
"7","Kingdom Death: Monster – Nightmare Ram Expansion",2019,60,6
"8","Kingdom Death: Monster – Oblivion Mosquito Expansion",2019,60,6
"9","Kingdom Death: Monster – Pariah Nemesis Expansion",2019,60,6
"10","Kingdom Death: Monster – Gryphon Expansion",2019,60,6
"11","Kingdom Death: Monster – Black Knight Expansion",2019,60,6
"12","Kingdom Death: Monster – Red Witches Expansion",2019,60,6
"13","Kingdom Death: Monster – First Hero Expansion",2019,60,6
"14","Kingdom Death: Monster – Abyssal Woods Expansion",2019,60,6
"15","Kingdom Death: Monster – Ivory Dragon",2019,60,4
"16","Kingdom Death: Monster – Campaigns of Death Expansion",2019,60,4
"17","Kingdom Death: Monster – Honeycomb Weaver Expansion",2019,60,6
"18","Kingdom Death: Monster – Inverted Mountain Campaign Expansion",2019,60,6
"19","Kingdom Death: Monster – The Silver City Expansion",2019,60,6
"20","Kingdom Death: Monster – Screaming God Expansion",2019,60,6
"21","Kingdom Death: Monster – Death Armor Expansion",2019,60,6
"22","Kingdom Death: Monster – Pathfinders of Death Crossover Promo Expansion",2019,30,6
"23","Kingdom Death: Monster – Super Survivors Promo Expansion",2019,60,6
"24","Kingdom Death: Monster – False Messengers Promo",2019,30,6
"25","Consequential",2018,60,5
"26","Blocks in the Pacific",2018,120,4
"27","War of Turkish Liberation",2018,0,2
"28","Clash of Rage",2018,90,4
"29","Rise of the Northmen",2018,90,3
"30","Must Eat Humans (M.E.H.)",2018,90,6
"31","Arcology",2018,90,4
"32","Blood of Rome",2018,120,5
"33","Singularity Sky",2018,0,0
"34","The ISIS War: The Next Middle East War",2018,0,2
"35","Soyuz '81",2018,0,2
"36","Mr. President",2018,0,1
"37","Rogue Squad",2018,0,4
"38","The Luzon Campaign, 1945",2018,0,1
"39","Consuls of Rome",2018,90,6
"40","Bigfoot vs. Yeti",2018,60,4
"41","The Struggle for Portugal: Peninsular War III, 1810-11",2018,0,0
"42","Eisenhower's War",2018,0,0
"43","1941: Race to Moscow",2018,120,4
"44","Spanish Civil War Battles: Teruel & Belchite",2018,0,2
"45","Barker's Row",2018,50,4
"46","Mines of <U+014C>lnak",2018,100,4
"47","Senatus",2018,90,6
"48","Endangered",2018,90,5
"49","Infamous",2018,120,5
"50","Time Breaker",2018,30,5
"51","Fantasy Fantasy Football",2018,60,6
"52","Empyreal: Spells & Steam",2018,75,5
"53","Fabled",2018,60,4
"54","Sentinels of Earth-Prime",2018,0,0
"55","Monster Slaughter",2018,90,4
"56","Scarlet Pimpernel",2018,120,6
"57","Fairy Tile",2018,0,0
"58","Planet Apocalypse",2018,180,7
"59","Churrascaria: A Cutthroat Game of Gluttony",2018,35,6
"60","Donning the Purple",2018,100,4
"61","Trappist-1",2018,20,4
"62","Tiny Ninjas",2018,20,2
"63","Dawn of Peacemakers",2018,120,4
"64","Cosmoclasm",2018,60,5
"65","Wages of War: The Uncooperative Siege Game",2018,120,4
"66","Diabolical Dungeons",2018,90,5
"67","Batman: The Boardgame",2018,90,5
"68","ELO Darkness",2018,75,4
"69","Delmer Esau's Blak Dragon",2018,300,4
"70","The Third Law",2018,90,2
"71","Relic Knights: 2nd Edition",2018,0,4
"72","Archmage",2018,120,4
"73","Mini WWII",2018,120,4
"74","Village Attacks: Greed & Fury",2018,180,5
"75","Village Attacks: Terror & Anguish",2018,180,5
"76","Village Attacks: Wrath & Ruin",2018,180,5
"77","Village Attacks: Fear & Torment",2018,180,5
"78","Detective: A Modern Crime Boardgame",2018,0,4
"79","A Song of Ice & Fire: Tabletop Miniatures Game – Stark vs Lannister Starter Set",2018,0,0
"80","1947",2018,600,5
"81","The Black Badge of the Galaxy",2018,150,5
"82","New Billionaire Banshee",2018,120,10
"83","Supervillain. This Galaxy Is Mine!",2018,60,4
"84","Rising Sun: Dynasty Invasion",2018,120,6
"85","Neon Knights: 2086",2018,120,6
"86","Rites of Cthulhu",2018,40,6
"87","Cry Monster!",2018,45,6
"88","Sailing Toward Osiris",2018,90,5
"89","The Pretenders",2018,35,12
"90","The Spectre Inspectors",2018,45,4
"91","Carthage",2018,75,5
"92","Village Attacks: Rage and Avarice",2018,0,5
"93","Village Attacks: Dread & Malice",2018,180,5
"94","Village Attacks: Doom & Suffering",2018,180,5
"95","Village Attacks: The Horrors of the Sands",2018,180,5
"96","Rising Sun: Kami Unbound",2018,120,6
"97","Brass: Birmingham",2018,180,4
"98","Regicide",2018,120,2
"99","Code Triage",2018,120,4
"100","Rising Sun: Monster Pack",2018,120,6
"101","Rising Sun: Daimyo Box",2018,120,6
"102","Zombicide: Green Horde",2018,0,0
"103","Dragon and Rider",2018,30,4
"104","Death Race Arcade",2018,120,8
"105","Village Attacks: Despair & Abhorrence",2018,180,5
"106","Sunset Over Water",2018,20,4
"107","Prince's Gambit",2018,60,8
"108","Human Punishment",2018,60,8
"109","7th Guest: The Board Game",2018,90,6
"110","Deep Space D-6: Armada",2018,60,4
"111","Wolfe Tone's Rising",2018,240,3
"112","Smolensk: Barbarossa Derailed",2018,0,2
